piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
A-MCAU_ZI1785-069_SID007	1: 4/4	1: 1	13	13	52.0	18	18	72.0	94.0	91	49	0	0	0	Zinck	"Ich Gott, dein tief gefallnes Kind
"								2021-02-25	Microsoft Windows			"Ich Gott, dein tief gefallnes Kind
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-069_SID007.mscz	False	40-74 (E2-D5)	Piano	62-74 (D4-D5)	Piano	40-55 (E2-G3)
A-MCAU_ZI1785-070_SID002	1: 4/4	1: 0	13	13	52.0	18	18	72.0	94.0	89	47	0	0	0	Zinck	"Gott, wie verderbt ist von Natur
"								2021-02-25	Microsoft Windows			"Gott, wie verderbt ist von Natur
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-070_SID002.mscz	False	40-76 (E2-E5)	Piano	64-76 (E4-E5)	Piano	40-57 (E2-A3)
A-MCAU_ZI1785-071a_SID050	1: 4/4	1: 1	13	13	52.0	13	13	52.0	96.0	95	51	0	0	0	Zinck	"Jauchzt Himmel! Erde freue dich [Melodie a]
"								2021-03-11	Microsoft Windows			"Jauchzt Himmel! Erde freue dich [Melodie a]
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-071a_SID050.mscz	False	40-76 (E2-E5)	Piano	62-76 (D4-E5)	Piano	40-59 (E2-B3)
A-MCAU_ZI1785-071b	1: 4/4	1: 2	13	13	52.0	13	13	52.0	96.0	84	42	0	0	0	Zinck, Benedix Friedrich	Jauchzt, Himmel! Erde freue dich								2022-08-02	Microsoft Windows			Jauchzt, Himmel! Erde freue dich	ZI1785-071b	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-071b.mscz	False	40-74 (E2-D5)	Piano	62-74 (D4-D5)	Piano	40-59 (E2-B3)
A-MCAU_ZI1785-072	1: 4/4	1: 0	11	11	44.0	11	11	44.0	80.0	74	41	0	0	0	Zinck, Benedix Friedrich	Gedancke, der uns Leben giebt								2022-08-02	Microsoft Windows			Gedancke, der uns Leben giebt	ZI1785-072	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-072.mscz	False	38-77 (D2-F5)	Piano	62-77 (D4-F5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-073_SID037	1: 4/4	1: -2	13	13	52.0	18	18	72.0	94.0	83	44	0	0	0	Zinck	"Durch Adams Sünde kam der Tod
"								2021-03-11	Microsoft Windows			"Durch Adams Sünde kam der Tod
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-073_SID037.mscz	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-074	1: 4/4	1: -1	14	14	56.0	14	14	56.0	104.0	98	50	0	0	0	Zinck, Benedix Friedrich	Rühmt, Christen, euren Gott								2022-08-02	Microsoft Windows			Rühmt, Christen, euren Gott	ZI1785-074	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-074.mscz	False	36-77 (C2-F5)	Piano	60-77 (C4-F5)	Piano	36-58 (C2-Bb3)
A-MCAU_ZI1785-075_SID043	1: 4/4	1: -1	13	13	52.0	19	19	76.0	104.0	94	48	0	0	0	Zinck	"Jesus ist gekommen
"								2021-03-11	Microsoft Windows			"Jesus ist gekommen
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-075_SID043.mscz	False	36-77 (C2-F5)	Piano	62-77 (D4-F5)	Piano	36-57 (C2-A3)
A-MCAU_ZI1785-076a	1: 4/4	1: 3	8	8	32.0	8	8	32.0	58.0	54	30	0	0	0	Zinck, Benedix Friedrich	Des Ewigen und der Sterblichen Sohn								2022-08-02	Microsoft Windows			Des Ewigen und der Sterblichen Sohn	ZI1785-076a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-076a.mscz	False	44-76 (G#2-E5)	Piano	66-76 (F#4-E5)	Piano	44-61 (G#2-C#4)
A-MCAU_ZI1785-076b	1: 3/4, 4: 4/4	1: 3	9	9	33.0	9	9	33.0	62.0	53	27	0	0	0	Zinck, Bendix Friedrich	Des Ewigen und Sterblichen Sohn								2023-07-25	Microsoft Windows			Des Ewigen und Sterblichen Sohn	ZI1785-076b	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-076b.mscz	False	40-76 (E2-E5)	Piano	66-76 (F#4-E5)	Piano	40-57 (E2-A3)
A-MCAU_ZI1785-077_SID019	1: 4/4	1: 1	19	19	76.0	24	24	96.0	140.0	134	72	0	0	0	Zinck	"Wie liebt uns Gott so väterlich
"								2021-02-25	Microsoft Windows			"Wie liebt uns Gott so väterlich
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-077_SID019.mscz	False	38-76 (D2-E5)	Piano	62-76 (D4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-078a	1: 4/4	1: 0	13	13	52.0	13	13	52.0	104.0	95	48	0	0	0	Zinck, Benedix Friedrich	Frölich laßt uns Gott lobsingen								2022-08-02	Microsoft Windows			Frölich laßt uns Gott lobsingen	ZI1785-078a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-078a.mscz	False	38-74 (D2-D5)	Piano	60-74 (C4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-078b	1: 4/4	1: -1	13	13	52.0	13	13	52.0	104.0	98	52	0	0	0	Zinck, Benedix Friedrich	Frölich laßt uns Gott lobsingen								2022-08-02	Microsoft Windows			Frölich laßt uns Gott lobsingen	ZI1785-078b	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-078b.mscz	False	36-77 (C2-F5)	Piano	65-77 (F4-F5)	Piano	36-57 (C2-A3)
A-MCAU_ZI1785-078c	1: 4/4	1: -2	13	13	52.0	13	13	52.0	102.0	87	44	0	0	0	Zinck, Benedix Friedrich	Frölich laßt uns Gott lobsingen								2022-08-02	Microsoft Windows			Frölich laßt uns Gott lobsingen	ZI1785-078c	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-078c.mscz	False	36-75 (C2-Eb5)	Piano	62-75 (D4-Eb5)	Piano	36-55 (C2-G3)
A-MCAU_ZI1785-079a	1: 4/4	1: 1	12	12	48.0	17	17	68.0	86.0	77	41	0	0	0	Zinck, Benedix Friedrich	Von Furcht dahin gerissen								2022-07-27	Microsoft Windows			Von Furcht dahin gerissen	ZI1785-079a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-079a.mscz	False	43-76 (G2-E5)	Piano	67-76 (G4-E5)	Piano	43-59 (G2-B3)
A-MCAU_ZI1785-079b	1: 4/4	1: 0	13	13	52.0	18	18	72.0	94.0	86	45	0	0	0	Zinck, Bendix Friedrich	Von Furcht dahin gerissen								2023-07-25	Microsoft Windows			Von Furcht dahin gerissen	ZI1785-079b	Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-079b.mscz	False	43-76 (G2-E5)	Piano	64-76 (E4-E5)	Piano	43-57 (G2-A3)
A-MCAU_ZI1785-080_SID062	1: 4/4	1: 1	10	10	40.0	10	10	40.0	74.0	64	33	0	0	0	Zinck, Bendix Friedrich	Das Heil ist da! auf								2021-04-12	Microsoft Windows			Das Heil ist da! auf		Zinck, Bendix Friedrich	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-080_SID062.mscz	False	38-72 (D2-C5)	Piano	63-72 (D#4-C5)	Piano	38-52 (D2-E3)
A-MCAU_ZI1785-081_SID078	1: 4/4	1: 1	13	13	52.0	18	18	72.0	94.0	87	48	0	0	0	Zinck, Bendix Friedrich	Seht, welch ein Mensch! wie lag so schwer								2021-04-12	Microsoft Windows			Seht, welch ein Mensch! wie lag so schwer		Zinck, Bendix Friedrich	3.6.0	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-081_SID078.mscz	False	38-74 (D2-D5)	Piano	62-74 (D4-D5)	Piano	38-55 (D2-G3)
A-MCAU_ZI1785-082a	1: 4/4	1: 0	9	9	36.0	14	14	56.0	72.0	70	38	0	0	0	Zinck, Benedix Friedrich	Seele, komm zum Golgatha								2022-07-27	Microsoft Windows			Seele, komm zum Golgatha	ZI1785-082a	Zinck, Benedix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-082a.mscz	False	41-76 (F2-E5)	Piano	60-76 (C4-E5)	Piano	41-57 (F2-A3)
A-MCAU_ZI1785-082b_SID089	1: 4/4	1: 1	9	9	36.0	14	14	56.0	72.0	69	38	0	0	0	Zinck, Bendix Friedrich	Seele, komm zum Golgatha [Melodie b]								2022-08-24	Microsoft Windows			Seele, komm zum Golgatha [Melodie b]		Zinck, Bendix Friedrich	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-082b_SID089.mscz	False	38-76 (D2-E5)	Piano	67-76 (G4-E5)	Piano	38-57 (D2-A3)
A-MCAU_ZI1785-083_SID038	1: 4/4	1: 0	25	25	100.0	33	33	132.0	180.0	163	86	0	0	0	Zinck	"Um Gnade für die Sünder fleht
"								2021-03-11	Microsoft Windows			"Um Gnade für die Sünder fleht
"		Zinck	3.6.2	2.5.3	1785_VollständigeSammlung/Analysis-MusiCAU	1785_VollständigeSammlung/Analysis-MusiCAU/A-MCAU_ZI1785-083_SID038.mscz	False	41-77 (F2-F5)	Piano	64-77 (E4-F5)	Piano	41-60 (F2-C4)
